Ref,Val,Package,PosX,PosY,Rot,Side
"P2","CONN_02X08","2x8_conn_10in",-1.002000,0.220000,180.000000,bottom
"P3","CONN_02X08","2x8_conn_10in",-3.298000,0.220000,180.000000,bottom
